T_h;Bezeichnung;Standort;Arbeitstag;Wochentag;Tag Nr;Kennzahl;TAG_Gesamtzahl_Passanten_dSSG
2018-07-08T04:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Wochenende;Sonntag;7;Tagesverkehr;18
2018-07-08T08:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Wochenende;Sonntag;7;Tagesverkehr;118
2018-07-08T15:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Wochenende;Sonntag;7;Tagesverkehr;282
2018-07-08T18:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Wochenende;Sonntag;7;Tagesverkehr;203
2018-07-09T00:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";23
2018-07-09T07:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";289
2018-07-09T10:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";799
2018-07-09T22:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";152
2018-07-10T02:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";5
2018-07-10T05:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";44
2018-07-10T10:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";966
2018-07-10T11:00:00+02:00;FG Marktgasse 20;47.4250436397,9.37643421166;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";1077
