Titel;Datum;Verwaltungsebene;Typ;Resultat;Ja-Stimmen;Nein-Stimmen;URL;Status;Total der Gemeinden;Ausgezählte Gemeinden;Letzte Änderung;turnout
Kantonsratsbeschluss über Sanierung und Erweiterung der Universität St.Gallen;2005-06-05;canton;vote;accepted;66.38325086674072;33.616749133259276;https://wab.sg.ch/vote/kantonsratsbeschluss-ueber-sanierung-und-erweiterung-der-universitaet-st-gallen;abgeschlossen;89;89;2022-01-19T07:36:21+01:00;51.77853172997444
Ersatzwahl Gerichtskreis St.Gallen: Gerichtspräsident/in;2005-06-05;none;election;;;;https://wab.sg.ch/election/kreisgerichtspraesident-in;abgeschlossen;4;4;2022-07-25T11:30:41+02:00;41.084873036261236
Bundesbeschluss über die Genehmigung und Umsetzung des Protokolls über die Ausdehnung des Freizügigkeitsabkommens auf die neuen EG-Mitgliedstaaten;2005-09-25;federation;vote;accepted;52.221803382380195;47.778196617619805;https://wab.sg.ch/vote/bundesbeschluss-ueber-die-genehmigung-und-umsetzung-des-protokolls-ueber-die-ausdehnung-des-freizuegigkeitsabkommens-auf-die-neuen-eg-mitgliedstaaten;abgeschlossen;89;89;2022-01-19T07:36:20+01:00;53.22070445599438
Bundesbeschluss über die Schaffung eines Fonds für die Nationalstrassen und den Agglomerationsverkehr (NAF);2017-02-12;federation;vote;accepted;60.273727588821956;39.726272411178044;https://wab.sg.ch/vote/bundesbeschluss-ueber-die-schaffung-eines-fonds-fuer-die-nationalstrassen-und-den-agglomerationsverkehr-naf;abgeschlossen;78;78;2022-01-19T07:36:20+01:00;44.237627098549545
Kantonsratswahl 2020: Wahlkreis St.Gallen;2020-03-08;district;election;;;;https://wab.sg.ch/election/kantonsratswahl-2020-wahlkreis-st-gallen;abgeschlossen;9;9;2022-01-19T07:36:20+01:00;33.686868686868685
Erneuerungswahl Kreisgericht Wil: 8 haupt-/teilamtliche Richter/innen;2020-11-29;none;election;;;;https://wab.sg.ch/election/erneuerungswahl-kreisgericht-wil-8-haupt-teilamtliche-richter-innen;abgeschlossen;10;10;2022-01-19T07:36:19+01:00;0.0
Volksinitiative «Volkswahl des Bundesrates»;2013-06-09;federation;vote;rejected;25.8418928347479;74.1581071652521;https://wab.sg.ch/vote/volksinitiative-volkswahl-des-bundesrates;abgeschlossen;78;78;2022-01-19T07:36:22+01:00;36.223427490968454
Ersatzwahl Kreisgericht Wil: Richter/in;2009-09-27;none;election;;;;https://wab.sg.ch/election/ersatzwahl-kreisgericht-wil-haupt-oder-teilamtliche-r-richter-in;abgeschlossen;10;10;2022-07-21T11:39:01+02:00;0.0
Gegenentwurf zur Volksinitiative «Avanti - für sichere und leistungsfähige Autobahnen»;2004-02-08;federation;vote;rejected;34.76387550314644;65.23612449685356;https://wab.sg.ch/vote/gegenentwurf-zur-volksinitiative-avanti-fuer-sichere-und-leistungsfaehige-autobahnen;abgeschlossen;90;90;2022-01-19T07:36:21+01:00;42.53203105709347
Volksinitiative «Lebenslange Verwahrung für nicht therapierbare, extrem gefährliche Sexual- und Gewaltstraftäter»;2004-02-08;federation;vote;accepted;61.579975579975574;38.420024420024426;https://wab.sg.ch/vote/volksinitiative-lebenslange-verwahrung-fuer-nicht-therapierbare-extrem-gefaehrliche-sexual-und-gewaltstraftaeter;abgeschlossen;90;90;2022-01-19T07:36:22+01:00;42.501508957721754
Bundesgesetz über die Änderung von Erlassen im Bereich der Ehe- und Familienbesteuerung, der Wohneigentumsbesteuerung und der Stempelabgaben;2004-05-16;federation;vote;rejected;44.82422947148075;55.17577052851925;https://wab.sg.ch/vote/bundesgesetz-ueber-die-anderung-von-erlassen-im-bereich-der-ehe-und-familienbesteuerung-der-wohneigentumsbesteuerung-und-der-stempelabgaben;abgeschlossen;90;90;2022-01-19T07:36:20+01:00;47.02326107135884
Erneuerungswahl der Mitglieder der Regierung (2. Wahlgang);2004-05-16;canton;election;;;;https://wab.sg.ch/election/erneuerungswahl-der-mitglieder-der-regierung-2-wahlgang-2;abgeschlossen;90;90;2022-08-17T15:42:28+02:00;39.98670532100385
Bundesbeschluss über die ordentliche Einbürgerung sowie über die erleichterte Einbürgerung junger Ausländerinnen und Ausländer der zweiten Generation;2004-09-26;federation;vote;rejected;31.19046868597724;68.80953131402276;https://wab.sg.ch/vote/bundesbeschluss-ueber-die-ordentliche-einbuergerung-sowie-ueber-die-erleichterte-einbuergerung-junger-auslaenderinnen-und-auslaender-der-zweiten-generation;abgeschlossen;90;90;2022-01-19T07:36:20+01:00;54.39414751488064
IV. Nachtrag zum Ergänzungsleistungsgesetz;2004-09-26;canton;vote;accepted;58.55674065532814;41.44325934467186;https://wab.sg.ch/vote/iv-nachtrag-zum-ergaenzungsleistungsgesetz;abgeschlossen;90;90;2022-01-19T07:36:21+01:00;47.611969326517006
Bundesbeschluss zur Neugestaltung des Finanzausgleichs und der Aufgabenteilung zwischen Bund und Kantonen (NFA);2004-11-28;federation;vote;accepted;66.4746827645682;33.5253172354318;https://wab.sg.ch/vote/bundesbeschluss-zur-neugestaltung-des-finanzausgleichs-und-der-aufgabenteilung-zwischen-bund-und-kantonen-nfa;abgeschlossen;90;90;2022-01-19T07:36:20+01:00;33.66724575157598
Volksinitiative «Ja zum Verhüllungsverbot»;2021-03-07;federation;vote;accepted;53.1197766236095;46.8802233763905;https://wab.sg.ch/vote/volksinitiative-ja-zum-verhuellungsverbot;abgeschlossen;78;78;2022-01-19T07:36:22+01:00;48.162685793665155
Bundesgesetz über elektronische Identifizierungsdienste (E-ID-Gesetz, BGEID);2021-03-07;federation;vote;rejected;38.00336706852178;61.99663293147822;https://wab.sg.ch/vote/bundesgesetz-ueber-elektronische-identifizierungsdienste-e-id-gesetz-bgeid;abgeschlossen;78;78;2022-01-19T07:36:22+01:00;48.01917197432697
Bundesbeschluss über die Genehmigung des Umfassenden Wirtschaftspartnerschaftsabkommens zwischen den EFTA-Staaten und Indonesien;2021-03-07;federation;vote;accepted;55.98824105830475;44.01175894169525;https://wab.sg.ch/vote/bundesbeschluss-ueber-die-genehmigung-des-umfassenden-wirtschaftspartnerschaftsabkommens-zwischen-den-efta-staaten-und-indonesien;abgeschlossen;78;78;2022-01-19T07:36:22+01:00;47.73766409793285
Bundesgesetz über die gesetzlichen Grundlagen für Verordnungen des Bundesrates zur Bewältigung der Covid-19-Epidemie (Covid-19-Gesetz);2021-06-13;federation;vote;accepted;51.02022835286374;48.97977164713626;https://wab.sg.ch/vote/bundesgesetz-ueber-die-gesetzlichen-grundlagen-fuer-verordnungen-des-bundesrates-zur-bewaeltigung-der-covid-19-epidemie-covid-19-gesetz;abgeschlossen;78;78;2022-01-19T07:36:22+01:00;59.57373352846105
Nachtrag zum Kantonsratsbeschluss über die Erneuerung und Erweiterung des Spitals Wattwil;2021-06-13;canton;vote;accepted;56.328310914450554;43.671689085549446;https://wab.sg.ch/vote/nachtrag-zum-kantonsratsbeschluss-ueber-die-erneuerung-und-erweiterung-des-spitals-wattwil;abgeschlossen;77;77;2022-01-19T07:36:22+01:00;52.580026636189324
Änderung des Bundesgesetzes über die gesetzlichen Grundlagen für Verordnungen des Bundesrates zur Bewältigung der Covid-19-Epidemie (Covid-19-Gesetz) (Härtefälle, Arbeitslosenversicherung, familienergänzende Kinderbetreuung, Kulturschaffende, Veranstaltungen);2021-11-28;federation;vote;accepted;54.728333562925215;45.271666437074785;https://wab.sg.ch/vote/anderung-vom-19-maerz-2021-des-bundesgesetzes-ueber-die-gesetzlichen-grundlagen-fuer-verordnungen-des-bundesrates-zur-bewaeltigung-der-covid-19-epidemie-covid-19-gesetz-haertefaelle-arbeitslosenversicherung-familienergaenzende-kinderbetreuung-kulturschaffende-veranstaltungen;abgeschlossen;78;78;2022-09-29T13:41:24+02:00;68.88749444082293
Änderung des Bundesgesetzes über Filmproduktion und Filmkultur (Filmgesetz, FiG);2022-05-15;federation;vote;accepted;50.62581207545929;49.37418792454071;https://wab.sg.ch/vote/anderung-des-bundesgesetzes-ueber-filmproduktion-und-filmkultur-filmgesetz-fig;abgeschlossen;78;78;2022-05-15T13:09:30+02:00;37.77333929184869
Änderung des Bundesgesetzes über die Transplantation von Organen, Geweben und ZeIlen (Transplantationsgesetz);2022-05-15;federation;vote;accepted;53.311407388346545;46.688592611653455;https://wab.sg.ch/vote/anderung-vom-1-oktober-2021-des-bundesgesetzes-ueber-die-transplantation-von-organen-geweben-und-zeilen-transplantationsgesetz;abgeschlossen;78;78;2022-05-19T09:00:50+02:00;38.1284181661757
Ersatzwahl Kreisgericht Rheintal: haupt-/teilamtliche/r Richter/in;2022-05-15;none;election;;;;https://wab.sg.ch/election/ersatzwahl-kreisgericht-rheintal-haupt-teilamtliche-r-richter-in;abgeschlossen;13;13;2022-05-15T14:34:23+02:00;0.0
Ersatzwahl Kreisgericht Wil: nebenamtliche/r Richter/in;2022-05-15;none;election;;;;https://wab.sg.ch/election/ersatzwahl-kreisgericht-wil-nebenamtliche-r-richter-in-1;abgeschlossen;10;10;2022-05-15T13:09:47+02:00;31.459960627421097
