Datum;Bezeichnung;Standort;Arbeitstag;Wochentag;Tag Nr;Kennzahl;Anzahl Velos
2014-04-13;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Wochenende;Sonntag;7;Tagesverkehr;304
2014-04-14;Rosenbergstrasse Veloweg;47.421245,9.359067;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";480
2014-04-15;Vadianstrasse 8;47.422903,9.372979;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";0
2014-04-16;Museumstrasse;47.427214,9.379645;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";414
2014-04-17;Splügenweg / Olma;47.433074,9.38514;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";213
2014-04-17;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";366
2014-04-17;Vadianstrasse 8;47.422903,9.372979;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";0
2014-04-18;Museumstrasse;47.427214,9.379645;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";66
2014-04-18;Splügenweg / Olma;47.433074,9.38514;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";38
2014-04-18;Vadianstrasse 8;47.422903,9.372979;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";0
2014-04-19;Rosenbergstrasse Veloweg;47.421245,9.359067;Wochenende;Samstag;6;Tagesverkehr;176
2014-04-20;Vadianstrasse 8;47.422903,9.372979;Wochenende;Sonntag;7;Tagesverkehr;0
2014-04-22;Splügenweg / Olma;47.433074,9.38514;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";241
2014-04-23;Museumstrasse;47.427214,9.379645;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";617
2014-04-24;Museumstrasse;47.427214,9.379645;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";619
2014-04-24;Sitterviadukt A1 / Gaiserwaldweg;47.42203,9.34464;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";226
2014-04-26;Oberstrasse 149;47.414179,9.356962;Wochenende;Samstag;6;Tagesverkehr;424
2014-04-28;Museumstrasse;47.427214,9.379645;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";248
2014-04-28;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";237
2014-04-29;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Werktage;Dienstag;2;"Tagesverkehr;Werktagsverkehr";374
2014-04-30;Splügenweg / Olma;47.433074,9.38514;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";254
2014-04-30;Vadianstrasse 8;47.422903,9.372979;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";558
2014-05-01;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";396
2014-05-01;Vadianstrasse 8;47.422903,9.372979;Werktage;Donnerstag;4;"Tagesverkehr;Werktagsverkehr";1019
2014-05-02;Sitterviadukt A1 / Gaiserwaldweg;47.42203,9.34464;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";45
2014-05-02;St.Jakob-Strasse 84 / Olma;47.4322,9.382405;Werktage;Freitag;5;"Tagesverkehr;Werktagsverkehr";269
2014-05-03;Museumstrasse;47.427214,9.379645;Wochenende;Samstag;6;Tagesverkehr;143
2014-05-04;Sitterviadukt A1 / Gaiserwaldweg;47.42203,9.34464;Wochenende;Sonntag;7;Tagesverkehr;119
2014-05-04;Splügenweg / Olma;47.433074,9.38514;Wochenende;Sonntag;7;Tagesverkehr;172
2014-05-05;Oberstrasse 149;47.414179,9.356962;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";928
2014-05-05;Splügenweg / Olma;47.433074,9.38514;Werktage;Montag;1;"Tagesverkehr;Werktagsverkehr";390
2014-05-07;Sitterviadukt A1 / Gaiserwaldweg;47.42203,9.34464;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";35
2014-05-07;Vadianstrasse 8;47.422903,9.372979;Werktage;Mittwoch;3;"Tagesverkehr;Werktagsverkehr";597
