Projektname;Direktion Abkürzung;Direktion Name;Dienststelle Abkürzung;Dienststelle Name;Objekt;Verfahren;Arbeitsgattung;Beschreibung zur Arbeitsgattung;T_d;Zuschlagsempfänger;TAG_Auftragsvolumen_exkl._MWST_dSSG;Bemerkung
"Altenwegen Ost; Verlängerung Piccardstrasse";DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Altenwegen Ost;Freihändig;Öffentliche Beleuchtung;;2021-01-27;St.Galler Stadtwerke, Abteilung Öffentliche Beleuchtung;106900.0;
Ersatz eines Lastwagens SI;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;LKW 16 Tonnen;Einladung;Ersatzbeschaffung LKW mittel 16 Tonnen;Lastwagen für Pfad-, Streu- und Baustelleneinsätze;2021-02-23;"Scania Schweiz AG
St.Gallen";207500.0;
Los 321 Fernwärmeleitung Lukasstrasse;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Los 321 Lukasstrasse;Offen;Spülbohrung;;2021-03-23;"Schenk AG
Heldswil";1581996.0;
Schulhaus Hebel, Sanierung und betriebliche Optimierung;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Schulhaus Hebel;Freihändig;273.3 Allgemeine Schreinerarbeiten;Sanierung und betriebliche Optimierung;2021-03-31;"Schreinerei Ambrosch GmbH
Langgasse 152
9008 St.Gallen";112910.15;
Ersatz einer Saugkehrmaschine 2m3 mit Elektroantrieb;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Ersatz Saugkehrmaschine 2m3 mit Elektroantrieb;Einladung;--;Ersatzbeschaffung;2021-04-27;"Bucher Municipal AG
Niederweningen";223600.0;
Oberstufenzentrum Zil, Sanierung Schulhaus und Turnhalle;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Oberstufenzentrum Zil;Offen;BKP 273.9 Diverse Schreinerarbeiten;Schreinerarbeiten;2021-04-29;"mobil Werke AG
Littenbachstrasse 1
9424 Berneck";116349.3;
Fachhochschule, Sanierung Vorplatz;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Vorplatz Fachhochschule;Freihändig;;Instandstellungsarbeiten;2021-05-05;"Morant AG
St.Gallen";176699.3;
Primarschule Hebel-Bach, Neubau Tagesbetreuung an der Gotthelfstrasse;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Tagesbetreuung Hebel;Einladung;BKP 211;Baumeisterarbeiten;2021-06-15;"Baugeschäft Bärlocher AG
St.Gallen";486903.8;
Primarschule Hebel-Bach, Neubau Tagesbetreuung an der Gotthelfstrasse;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Tagesbetreuung Hebel;Einladung;BKP 358;Kücheneinrichtungen;2021-06-15;"Resta AG
Flawil";183614.1;
Oberstufenzentrum Zil, Sanierung Schulhaus und Turnhalle;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Oberstufenzentrum Zil;Offen;BKP 152;Kanalisationsleitungen;2021-06-29;"Strabag AG
St.Gallen";174340.0;
Primarschule Hebel-Bach, Neubau Tagesbetreuung an der Gotthelfstrasse;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Primarschule Hebel;Einladung;BKP 224;Bedachungsarbeiten Schulhaus;2021-06-29;"Merz + Egger AG
St.Gallen";181889.6;
ARA Au 2025, Elektroplaner Teil MSRL;DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;ARA Au;Einladung;Erweiterung Biologie;;2021-08-17;"BGG Engineering AG
St.Gallen";147733.2;
ARA Hofen / Klärschlammtransport;DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;ARA Hofen;Einladung;Klärschlammtransport ARA Hofen - AVA Altenrhein;;2021-08-23;"Schnider AG
Engelburg";140400.0;
"KHK; Erneuerung Rauchgasreinigung";DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;"KHK; Rauchgasreinigung";Freihändig;Erneuerung Rachgasreinigung, Automation;;2021-11-02;"SAR Elektronic GmbH
D-Dingolfing";844619.8;
Sportanlage Neudorf, Sanierung und Erweiterung Leichtathletikanlage;DPB;Direktion Planung und Bau;SGR;Stadtgrün;Sprtanlage Neudorf;Einladung;BKP 496.6;Sportstättenplaner Bau;2022-01-11;"bhateam ingenieure AG
Sirnach";167152.5;
Primarschule Hebel, Sanierung und betriebliche Optimierung;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Primarschule Hebel;Einladung;BKP 281.7;Bodenbeläge aus Holz;2022-01-18;"Artho Bodenideen
St.Gallen";170782.7;
Schillerstrasse;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;"Schillerstrasse; Turnerstrasse bis Vonwilstrasse";Einladung;Strasseninstandstellungsarbeiten;;2022-02-04;"Cellere Bau AG
St.Gallen";156387.4;
Primarschule Hebel-Bach, Neubau Tagesbetreuung an der Gotthelfstrasse;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Neubau Tagesbetreuung;Offen;BKP 215.5;Äussere Bekleidung aus Metall;2022-02-08;"Rey Metallbau AG
St.Gallen";250305.9;
"KHK; Aufschweissungen Reisser";DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;"KHK; Reisser";Freihändig;Aufschweissungen;;2022-02-08;"SID SA
Saint Sulpice";276960.0;
Herisauer Strasse, Zeppelinstrasse bis Blériotweg;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Herisauer Strasse;Offen;Instandstellung;;2022-02-17;"Cellere Bau AG
St.Gallen";638774.75;
Höhenweg, Kurzenbergstrasse bis Haus Nr. 68;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Höhenweg, Kurzenbergstrasse bis Haus Nr. 68;Einladung;;Strasseninstandstellungsarbeiten;2022-03-11;"Implenia Schweiz AG
St.Gallen";117847.3;
Felsenstrasse, Gottfried-Keller-Strasse bis Kapellenstrasse;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Felsenstrasse, Gottfried-Keller-Strasse bis Kapellenstrasse;Offen;;Strassen- und Werkleitungsarbeiten;2022-03-29;"Walo Bertschinger AG
St.Gallen";373711.3;
Ausbau Fernwärme, Teilgebiet 7.4 Heiligkreuz;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Los 742 Kolumbanstrasse;Freihändig;Rohrbauarbeiten für Fernwärme;;2022-04-27;"Sihro Tech AG
Sirnach";131176.0;
Ausbau Fernwärme, Teilgebiet 7.4 Heiligkreuz;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Kolumbanstrasse Los 742;Freihändig;Tiefbauarbeiten;;2022-04-27;"Kibag Bauleistungen AG
St.Gallen";229538.7;
Energiedienstleistungs-Anlage Hofstrasse 1-11;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;BKP 24 Heizung;Freihändig;;;2022-04-27;"E3 HLK AG
Bildstrasse 5
9015 St.Gallen";128480.0;
