T_Y;Oberkategorie;Kategorie;Standort;Sektor;Untersektor;TAG_CO2-eq./a_Schweiz;TAG/a_Schweiz;TAG_CO2-eq./a_Stadt_St.Gallen;TAG/a_Stadt_St.Gallen
2018;Übrige Materialien;Textilien, Leder;Schweiz;Bau;Recycling;0.0;0;0.0;0.0
2018;Wasser;Wasser;Schweiz;Bau;Abwasser;0.0;0;0.0;0.0
2018;Energie;Brennstoff;Schweiz;Mobilität;Abwasser;0.0;0;0.0;0.0
2018;Energie;Elektrizität;Schweiz;Mobilität;Deponie;0.0;0;0.0;0.0
2018;Energie;Treibstoff;Schweiz;Mobilität;Recycling;0.0;0;0.0;0.0
2018;Energie;Treibstoff;Schweiz;Mobilität;Verbrennung;0.0;0;0.0;0.0
2018;Nahrung;Nahrung für Menschen;Schweiz;Mobilität;Deponie;0.0;0;0.0;0.0
2018;Nahrung;Tierfutter, Tiere;Schweiz;Mobilität;Recycling;0.0;0;0.0;0.0
2018;Übrige Materialien;Andere Metalle;Schweiz;Mobilität;Recycling;520.8278432;3589;4.620369888765873;31.838750073146468
2018;Übrige Materialien;Chemische Grundstoffe;Schweiz;Mobilität;Deponie;2661.754256;4193;23.612964199754227;37.19695710691088
2018;Übrige Materialien;Chemische Grundstoffe;Schweiz;Mobilität;Recycling;4070.785849;19480;36.11277047857686;172.8110480426005
2018;Übrige Materialien;Elektronik, Batterien;Schweiz;Mobilität;Deponie;724.0090438;1141;6.422831706950669;10.122043419743695
2018;Übrige Materialien;Holz, Papier;Schweiz;Mobilität;Deponie;0.0;0;0.0;0.0
