T_h;Bad_ID;Name;TAG_Besucherstand_Bäder_dSSG;TAG_Max._Kapazität_der_Bäder_während_Corona;Bemerkung Max. Kapazitäten
2020-06-22T16:30:00+02:00;c5ed762037214d;Freibad Rotmonten;4;1780;Eislaufen im Winter für max. 180 Personen
2020-06-22T16:45:00+02:00;c5ed762037214d;Freibad Rotmonten;7;1780;Eislaufen im Winter für max. 180 Personen
2020-06-22T17:45:00+02:00;c5ed762037214d;Freibad Rotmonten;4;1780;Eislaufen im Winter für max. 180 Personen
2020-06-22T19:15:00+02:00;c5ed762037214d;Freibad Rotmonten;0;1780;Eislaufen im Winter für max. 180 Personen
2020-06-23T09:30:00+02:00;c5ed762037214d;Freibad Rotmonten;2;1780;Eislaufen im Winter für max. 180 Personen
2020-06-23T12:15:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-23T15:15:00+02:00;c5ed762037214d;Freibad Rotmonten;2;1780;Eislaufen im Winter für max. 180 Personen
2020-06-24T07:00:00+02:00;c5ed762037214d;Freibad Rotmonten;3;1780;Eislaufen im Winter für max. 180 Personen
2020-06-24T08:15:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-24T09:45:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-24T10:45:00+02:00;c5ed762037214d;Freibad Rotmonten;7;1780;Eislaufen im Winter für max. 180 Personen
2020-06-24T11:15:00+02:00;c5ed762037214d;Freibad Rotmonten;7;1780;Eislaufen im Winter für max. 180 Personen
2020-06-24T12:30:00+02:00;c5ed762037214d;Freibad Rotmonten;5;1780;Eislaufen im Winter für max. 180 Personen
2020-06-24T14:30:00+02:00;c5ed762037214d;Freibad Rotmonten;1;1780;Eislaufen im Winter für max. 180 Personen
2020-06-24T18:45:00+02:00;c5ed762037214d;Freibad Rotmonten;13;1780;Eislaufen im Winter für max. 180 Personen
2020-06-24T19:15:00+02:00;c5ed762037214d;Freibad Rotmonten;0;1780;Eislaufen im Winter für max. 180 Personen
2020-06-25T07:45:00+02:00;c5ed762037214d;Freibad Rotmonten;5;1780;Eislaufen im Winter für max. 180 Personen
2020-06-25T08:00:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-25T08:15:00+02:00;c5ed762037214d;Freibad Rotmonten;8;1780;Eislaufen im Winter für max. 180 Personen
2020-06-25T09:15:00+02:00;c5ed762037214d;Freibad Rotmonten;11;1780;Eislaufen im Winter für max. 180 Personen
2020-06-25T10:00:00+02:00;c5ed762037214d;Freibad Rotmonten;8;1780;Eislaufen im Winter für max. 180 Personen
2020-06-25T17:45:00+02:00;c5ed762037214d;Freibad Rotmonten;12;1780;Eislaufen im Winter für max. 180 Personen
2020-06-26T11:00:00+02:00;c5ed762037214d;Freibad Rotmonten;9;1780;Eislaufen im Winter für max. 180 Personen
2020-06-26T11:15:00+02:00;c5ed762037214d;Freibad Rotmonten;8;1780;Eislaufen im Winter für max. 180 Personen
2020-06-26T11:45:00+02:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-06-26T12:45:00+02:00;c5ed762037214d;Freibad Rotmonten;0;1780;Eislaufen im Winter für max. 180 Personen
2020-06-26T18:30:00+02:00;c5ed762037214d;Freibad Rotmonten;8;1780;Eislaufen im Winter für max. 180 Personen
